Time,dengue-sg
1.05676E+12,131
1.05736E+12,144
1.05797E+12,128
1.05857E+12,78
1.05918E+12,75
1.05978E+12,62
1.06039E+12,63
1.06099E+12,64
1.0616E+12,83
1.0622E+12,93
1.06281E+12,51
1.06341E+12,79
1.06402E+12,61
1.06462E+12,78
1.06523E+12,67
1.06583E+12,75
1.06644E+12,67
1.06704E+12,74
1.06764E+12,98
1.06825E+12,100
1.06885E+12,94
1.06946E+12,90
1.07006E+12,60
1.07067E+12,67
1.07127E+12,95
1.07188E+12,83
1.07248E+12,71
1.07309E+12,53
1.07369E+12,81
1.0743E+12,87
1.0749E+12,57
1.07551E+12,81
1.07611E+12,70
1.07672E+12,63
1.07732E+12,62
1.07793E+12,56
1.07853E+12,67
1.07914E+12,58
1.07974E+12,36
1.08035E+12,43
1.08095E+12,42
1.08156E+12,38
1.08216E+12,99
1.08276E+12,83
1.08337E+12,90
1.08397E+12,139
1.08458E+12,119
1.08518E+12,93
1.08579E+12,129
1.08639E+12,149
1.087E+12,135
1.0876E+12,156
1.08821E+12,163
1.08881E+12,163
1.08942E+12,191
1.09002E+12,220
1.09063E+12,222
1.09123E+12,221
1.09184E+12,311
1.09244E+12,258
1.09305E+12,281
1.09365E+12,332
1.09426E+12,276
1.09486E+12,314
1.09547E+12,263
1.09607E+12,325
1.09668E+12,302
1.09728E+12,244
1.09788E+12,340
1.09849E+12,314
1.09909E+12,260
1.0997E+12,258
1.1003E+12,192
1.10091E+12,263
1.10151E+12,316
1.10212E+12,300
1.10272E+12,305
1.10333E+12,329
1.10393E+12,290
1.10454E+12,243
1.10514E+12,317
1.10575E+12,298
1.10635E+12,217
1.10696E+12,272
1.10756E+12,282
1.10817E+12,198
1.10877E+12,317
1.10938E+12,237
1.10998E+12,156
1.11059E+12,158
1.11119E+12,103
1.1118E+12,100
1.1124E+12,138
1.113E+12,125
1.11361E+12,118
1.11421E+12,139
1.11482E+12,118
1.11542E+12,137
1.11603E+12,151
1.11663E+12,160
1.11724E+12,163
1.11784E+12,139
1.11845E+12,212
1.11905E+12,259
1.11966E+12,318
1.12026E+12,389
1.12087E+12,361
1.12147E+12,362
1.12208E+12,408
1.12268E+12,353
1.12329E+12,338
1.12389E+12,307
1.1245E+12,414
1.1251E+12,493
1.12571E+12,546
1.12631E+12,690
1.12692E+12,697
1.12752E+12,714
1.12812E+12,541
1.12873E+12,472
1.12933E+12,387
1.12994E+12,358
1.13054E+12,331
1.13115E+12,222
1.13175E+12,175
1.13236E+12,140
1.13296E+12,145
1.13357E+12,124
1.13417E+12,88
1.13478E+12,116
1.13538E+12,85
1.13599E+12,84
1.13659E+12,83
1.1372E+12,62
1.1378E+12,46
1.13841E+12,72
1.13901E+12,41
1.13962E+12,75
1.14022E+12,55
1.14083E+12,75
1.14143E+12,60
1.14204E+12,60
1.14264E+12,37
1.14324E+12,44
1.14385E+12,39
1.14445E+12,39
1.14506E+12,40
1.14566E+12,32
1.14627E+12,38
1.14687E+12,52
1.14748E+12,43
1.14808E+12,74
1.14869E+12,80
1.14929E+12,76
1.1499E+12,84
1.1505E+12,85
1.15111E+12,87
1.15171E+12,95
1.15232E+12,105
1.15292E+12,102
1.15353E+12,100
1.15413E+12,70
1.15474E+12,78
1.15534E+12,80
1.15595E+12,73
1.15655E+12,77
1.15716E+12,59
1.15776E+12,56
1.15836E+12,58
1.15897E+12,54
1.15957E+12,54
1.16018E+12,52
1.16078E+12,48
1.16139E+12,42
1.16199E+12,37
1.1626E+12,46
1.1632E+12,40
1.16381E+12,45
1.16441E+12,42
1.16502E+12,40
1.16562E+12,45
1.16623E+12,56
1.16683E+12,45
1.16744E+12,49
1.16804E+12,61
1.16865E+12,64
1.16925E+12,48
1.16986E+12,55
1.17046E+12,56
1.17107E+12,35
1.17167E+12,58
1.17228E+12,49
1.17288E+12,61
1.17348E+12,71
1.17409E+12,45
1.17469E+12,88
1.1753E+12,62
1.1759E+12,89
1.17651E+12,127
1.17711E+12,99
1.17772E+12,129
1.17832E+12,111
1.17893E+12,180
1.17953E+12,210
1.18014E+12,259
1.18074E+12,227
1.18135E+12,293
1.18195E+12,401
1.18256E+12,349
1.18316E+12,381
1.18377E+12,432
1.18437E+12,377
1.18498E+12,363
1.18558E+12,322
1.18619E+12,311
1.18679E+12,246
1.1874E+12,242
1.188E+12,242
1.1886E+12,192
1.18921E+12,211
1.18981E+12,203
1.19042E+12,196
1.19102E+12,187
1.19163E+12,175
1.19223E+12,157
1.19284E+12,124
1.19344E+12,145
1.19405E+12,117
1.19465E+12,108
1.19526E+12,127
1.19586E+12,139
1.19647E+12,145
1.19707E+12,132
1.19768E+12,128
1.19828E+12,97
1.19889E+12,122
1.19949E+12,116
1.2001E+12,120
1.2007E+12,105
1.20131E+12,131
1.20191E+12,110
1.20252E+12,68
1.20312E+12,103
1.20372E+12,110
1.20433E+12,88
1.20493E+12,72
1.20554E+12,74
1.20614E+12,67
1.20675E+12,86
1.20735E+12,77
1.20796E+12,97
1.20856E+12,104
1.20917E+12,88
1.20977E+12,117
1.21038E+12,108
1.21098E+12,146
1.21159E+12,132
1.21219E+12,145
1.2128E+12,174
1.2134E+12,165
1.21401E+12,155
1.21461E+12,132
1.21522E+12,158
1.21582E+12,130
1.21643E+12,127
1.21703E+12,122
1.21764E+12,150
1.21824E+12,154
1.21884E+12,133
1.21945E+12,162
1.22005E+12,150
1.22066E+12,143
1.22126E+12,119
1.22187E+12,129
1.22247E+12,144
1.22308E+12,138
1.22368E+12,178
1.22429E+12,160
1.22489E+12,174
1.2255E+12,133
1.2261E+12,153
1.22671E+12,153
1.22731E+12,134
1.22792E+12,151
1.22852E+12,155
1.22913E+12,182
1.22973E+12,222
1.23034E+12,189
1.23094E+12,199
1.23155E+12,242
1.23215E+12,144
1.23276E+12,126
1.23336E+12,116
1.23396E+12,124
1.23457E+12,137
1.23517E+12,124
1.23578E+12,114
1.23638E+12,88
1.23699E+12,74
1.23759E+12,83
1.2382E+12,79
1.2388E+12,86
1.23941E+12,94
1.24001E+12,104
1.24062E+12,107
1.24122E+12,79
1.24183E+12,95
1.24243E+12,85
1.24304E+12,114
1.24364E+12,122
1.24425E+12,81
1.24485E+12,105
1.24546E+12,99
1.24606E+12,107
1.24667E+12,77
1.24727E+12,59
1.24788E+12,73
1.24848E+12,63
1.24908E+12,64
1.24969E+12,83
1.25029E+12,68
1.2509E+12,74
1.2515E+12,78
1.25211E+12,54
1.25271E+12,44
1.25332E+12,55
1.25392E+12,59
1.25453E+12,55
1.25513E+12,74
1.25574E+12,54
1.25634E+12,73
1.25695E+12,80
1.25755E+12,75
1.25816E+12,76
1.25876E+12,72
1.25937E+12,45
1.25997E+12,64
1.26058E+12,62
1.26118E+12,73
1.26179E+12,73
1.26239E+12,68
1.263E+12,92
1.2636E+12,80
1.2642E+12,75
1.26481E+12,131
1.26541E+12,97
1.26602E+12,111
1.26662E+12,52
1.26723E+12,93
1.26783E+12,86
1.26844E+12,81
1.26904E+12,80
1.26965E+12,67
1.27025E+12,41
1.27086E+12,72
1.27146E+12,61
1.27207E+12,67
1.27267E+12,62
1.27328E+12,52
1.27388E+12,66
1.27449E+12,61
1.27509E+12,75
1.2757E+12,74
1.2763E+12,87
1.27691E+12,93
1.27751E+12,115
1.27812E+12,135
1.27872E+12,105
1.27932E+12,153
1.27993E+12,121
1.28053E+12,123
1.28114E+12,127
1.28174E+12,132
1.28235E+12,147
1.28295E+12,123
1.28356E+12,145
1.28416E+12,120
1.28477E+12,175
1.28537E+12,182
1.28598E+12,168
1.28658E+12,169
1.28719E+12,147
1.28779E+12,152
1.2884E+12,132
1.289E+12,102
1.28961E+12,116
1.29021E+12,92
1.29082E+12,81
1.29142E+12,98
1.29203E+12,87
1.29263E+12,80
1.29324E+12,94
1.29384E+12,87
1.29444E+12,87
1.29505E+12,102
1.29565E+12,64
1.29626E+12,68
1.29686E+12,36
1.29747E+12,60
1.29807E+12,71
1.29868E+12,55
1.29928E+12,66
1.29989E+12,70
1.30049E+12,72
1.3011E+12,65
1.3017E+12,72
1.30231E+12,88
1.30291E+12,76
1.30352E+12,59
1.30412E+12,101
1.30473E+12,67
1.30533E+12,109
1.30594E+12,121
1.30654E+12,129
1.30715E+12,105
1.30775E+12,146
1.30836E+12,123
1.30896E+12,141
1.30956E+12,185
1.31017E+12,211
1.31077E+12,215
1.31138E+12,227
1.31198E+12,263
1.31259E+12,218
1.31319E+12,154
1.3138E+12,131
1.3144E+12,130
1.31501E+12,134
1.31561E+12,119
1.31622E+12,105
1.31682E+12,115
1.31743E+12,79
1.31803E+12,60
1.31864E+12,87
1.31924E+12,74
1.31985E+12,63
1.32045E+12,66
1.32106E+12,69
1.32166E+12,59
1.32227E+12,82
1.32287E+12,82
1.32348E+12,68
1.32408E+12,66
1.32468E+12,65
1.32529E+12,62
1.32589E+12,74
1.3265E+12,66
1.3271E+12,61
1.32771E+12,52
1.32831E+12,85
1.32892E+12,87
1.32952E+12,65
1.33013E+12,51
1.33073E+12,55
1.33134E+12,46
1.33194E+12,64
1.33255E+12,73
1.33315E+12,48
1.33376E+12,52
1.33436E+12,82
1.33497E+12,77
1.33557E+12,64
1.33618E+12,88
1.33678E+12,97
1.33739E+12,80
1.33799E+12,80
1.3386E+12,81
1.3392E+12,100
1.3398E+12,88
1.34041E+12,129
1.34101E+12,151
1.34162E+12,140
1.34222E+12,132
1.34283E+12,125
1.34343E+12,110
1.34404E+12,94
1.34464E+12,127
1.34525E+12,115
1.34585E+12,92
1.34646E+12,102
1.34706E+12,76
1.34767E+12,74
1.34827E+12,72
1.34888E+12,100
1.34948E+12,104
1.35009E+12,123
1.35069E+12,105
1.3513E+12,84
1.3519E+12,104
1.35251E+12,100
1.35311E+12,88
1.35372E+12,100
1.35432E+12,80
1.35492E+12,78
1.35553E+12,105
1.35613E+12,94
1.35674E+12,112
1.35734E+12,134
1.35795E+12,205
1.35855E+12,219
1.35916E+12,267
1.35976E+12,293
1.36037E+12,322
1.36097E+12,247
1.36158E+12,296
1.36218E+12,249
1.36279E+12,273
1.36339E+12,308
1.364E+12,307
1.3646E+12,316
1.36521E+12,406
1.36581E+12,492
1.36642E+12,509
1.36702E+12,538
1.36763E+12,547
1.36823E+12,558
1.36884E+12,611
1.36944E+12,640
1.37004E+12,746
1.37065E+12,814
1.37125E+12,809
1.37186E+12,842
1.37246E+12,806
1.37307E+12,678
1.37367E+12,541
1.37428E+12,390
1.37488E+12,306
1.37549E+12,289
1.37609E+12,256
1.3767E+12,378
1.3773E+12,341
1.37791E+12,386
1.37851E+12,452
1.37912E+12,339
1.37972E+12,376
1.38033E+12,406
1.38093E+12,441
1.38154E+12,438
1.38214E+12,374
1.38275E+12,495
1.38335E+12,458
1.38396E+12,402
1.38456E+12,444
1.38516E+12,365
1.38577E+12,372
1.38637E+12,347
1.38698E+12,381
1.38758E+12,371
1.38819E+12,414
1.38879E+12,437
1.3894E+12,479
1.39E+12,401
1.39061E+12,336
1.39121E+12,234
1.39182E+12,274
1.39242E+12,369
1.39303E+12,194
1.39363E+12,187
1.39424E+12,210
1.39484E+12,225
1.39545E+12,210
1.39605E+12,225
1.39666E+12,240
1.39726E+12,245
1.39787E+12,235
1.39847E+12,282
1.39908E+12,251
1.39968E+12,261
1.40028E+12,291
1.40089E+12,428
1.40149E+12,456
1.4021E+12,459
1.4027E+12,506
1.40331E+12,551
1.40391E+12,671
1.40452E+12,891
1.40512E+12,819
1.40573E+12,746
1.40633E+12,634
1.40694E+12,484
1.40754E+12,545
1.40815E+12,438
1.40875E+12,418
1.40936E+12,367
1.40996E+12,339
1.41057E+12,362
1.41117E+12,397
1.41178E+12,345
1.41238E+12,339
1.41299E+12,278
1.41359E+12,297
1.4142E+12,213
1.4148E+12,186
1.4154E+12,169
1.41601E+12,158
1.41661E+12,149
1.41722E+12,162
1.41782E+12,212
1.41843E+12,177
1.41903E+12,198
1.41964E+12,188
1.42024E+12,158
1.42085E+12,257
1.42145E+12,228
1.42206E+12,237
1.42266E+12,259
1.42327E+12,212
1.42387E+12,173
1.42448E+12,100
1.42508E+12,172
1.42569E+12,190
1.42629E+12,110
1.4269E+12,91
1.4275E+12,130
1.42811E+12,91
1.42871E+12,107
1.42932E+12,137
1.42992E+12,113
1.43052E+12,120
1.43113E+12,135
1.43173E+12,158
1.43234E+12,109
1.43294E+12,180
1.43355E+12,152
1.43415E+12,193
1.43476E+12,207
1.43536E+12,240
1.43597E+12,242
1.43657E+12,272
1.43718E+12,263
1.43778E+12,293
1.43839E+12,250
1.43899E+12,226
1.4396E+12,221
1.4402E+12,250
1.44081E+12,225
1.44141E+12,246
1.44202E+12,217
1.44262E+12,303
1.44323E+12,214
1.44383E+12,257
1.44444E+12,235
1.44504E+12,235
1.44564E+12,224
1.44625E+12,246
1.44685E+12,266
1.44746E+12,198
1.44806E+12,254
1.44867E+12,286
1.44927E+12,259
1.44988E+12,357
1.45048E+12,333
1.45109E+12,372
1.45169E+12,459
1.4523E+12,547
1.4529E+12,620
1.45351E+12,637
1.45411E+12,624
1.45472E+12,525
1.45532E+12,419
1.45593E+12,590
1.45653E+12,511
1.45714E+12,411
1.45774E+12,396
1.45835E+12,373
1.45895E+12,306
1.45956E+12,377
1.46016E+12,291
1.46076E+12,224
1.46137E+12,229
1.46197E+12,242
1.46258E+12,180
1.46318E+12,216
1.46379E+12,212
1.46439E+12,198
1.465E+12,216
1.4656E+12,158
1.46621E+12,193
1.46681E+12,215
1.46742E+12,234
1.46802E+12,247
1.46863E+12,223
1.46923E+12,266
1.46984E+12,222
1.47044E+12,210
1.47105E+12,198
1.47165E+12,222
1.47226E+12,274
1.47286E+12,311
1.47347E+12,242
1.47407E+12,175
1.47468E+12,174
1.47528E+12,138
1.47588E+12,125
1.47649E+12,94
1.47709E+12,108
1.4777E+12,84
1.4783E+12,86
1.47891E+12,84
1.47951E+12,72
1.48012E+12,75
1.48072E+12,86
1.48133E+12,59
1.48193E+12,81
1.48254E+12,72
1.48314E+12,64
1.48375E+12,70
1.48435E+12,91
1.48496E+12,74
1.48556E+12,63
1.48617E+12,62
1.48677E+12,77
1.48738E+12,53
1.48798E+12,54
1.48859E+12,41
1.48919E+12,32
1.4898E+12,35
1.4904E+12,32
1.491E+12,50
1.49161E+12,37
1.49221E+12,32
1.49282E+12,51
1.49342E+12,37
1.49403E+12,42
1.49463E+12,48
1.49524E+12,50
1.49584E+12,50
1.49645E+12,66
1.49705E+12,62
1.49766E+12,80
1.49826E+12,73
1.49887E+12,75
1.49947E+12,63
1.50008E+12,53
1.50068E+12,51
1.50129E+12,67
1.50189E+12,60
1.5025E+12,56
1.5031E+12,53
1.50371E+12,52
1.50431E+12,33
1.50492E+12,40
1.50552E+12,53
1.50612E+12,59
1.50673E+12,39
1.50733E+12,52
1.50794E+12,55
1.50854E+12,63
1.50915E+12,77
1.50975E+12,62
1.51036E+12,44
1.51096E+12,50
1.51157E+12,24
1.51217E+12,38
1.51278E+12,34
1.51338E+12,40
1.51399E+12,51
1.51459E+12,66
1.5152E+12,83
1.5158E+12,68
1.51641E+12,54
1.51701E+12,45
1.51762E+12,48
1.51822E+12,50
1.51883E+12,28
1.51943E+12,39
1.52004E+12,51
1.52064E+12,37
1.52124E+12,39
1.52185E+12,36
1.52245E+12,24
1.52306E+12,38
1.52366E+12,38
1.52427E+12,56
1.52487E+12,56
1.52548E+12,77
1.52608E+12,62
1.52669E+12,64
1.52729E+12,65
1.5279E+12,54
1.5285E+12,75
1.52911E+12,55
1.52971E+12,61
1.53032E+12,76
1.53092E+12,58
1.53153E+12,44
1.53213E+12,41
1.53274E+12,56
1.53334E+12,51
1.53395E+12,59
1.53455E+12,43
1.53516E+12,68
1.53576E+12,75
1.53636E+12,76
1.53697E+12,49
1.53757E+12,63
1.53818E+12,40
1.53878E+12,51
1.53939E+12,51
1.53999E+12,62
1.5406E+12,78
1.5412E+12,75
1.54181E+12,71
1.54241E+12,78
1.54302E+12,97
1.54362E+12,109
